[3 months ago] 3515269  composer.json edited online with Bitbucket <Julio Cesar Laura Avendaño>
[3 months ago] 93990e0  FBI-2382:Triggers > when we go to "copy" in triggers, the "required field" alert is being superimposed on the code information <Fabio Guachalla>
[4 months ago] f098c45  FBI-2377:HTML editor >> Buttons overlap preview panel <Fabio Guachalla>
[4 months ago] 74c31ef  (origin/bugfix/FBI-2374) FBI-2374: [Zendesk - 5968]Improper Trigger Text Editor Alignment <Rodrigo Quelca>
[4 months ago] e4b16c5  (origin/bugfix/FBI-2357_B) FBI-2357: Designer >> The Quicktoolbar does not disappear even though the element is no longer in the canvas. <Rodrigo Quelca>
[5 months ago] 9827aac  FBI-1202:PMDynaform Designer: Datetime picker allows set its default value to a date which is out of maxDate and minDate range <Fabio Guachalla>
[5 months ago] a7189e9  FBI-2274:[Zendesk - 5355] Rich Text Editor in template is adding the server in the link field. <Fabio Guachalla>
[5 months ago] f93fc18  FBI-2261:UNDO/REDO shows an javascript error when a pool was removed <Fabio Guachalla>
[5 months ago] 5e30513  FBI-2245: Fix Pool removal through click on trash icon <Daniel>
[5 months ago] ebdbd80  FBI-2002 When importing a .json dynaform, keeps recreating the same variable <dheeyi william>
[5 months ago] c985d85  FBI-1825 Grid variables are not imported when importing DynaForm files <dheeyi william>
[5 months ago] 004ae75  The "href" property in Links and setHref() method should not add "http://" to the url <Fabio Guachalla>
[5 months ago] ae37e7c  FBI-2153 (Mobile) The json form changes after we click over the "x" icon in the input document related in the properties of the multiple file <dheeyi william>
[5 months ago] 4d74c68  FBI-1949: the Quick ToolBar it appear back the lane and I can't select a option <alex>
[5 months ago] 867dd07  FBI-1499:Can't select UID for task to copy it <Fabio Guachalla>
[5 months ago] 19e8ca9  FBI-1246: (Image Web Control) Display mode properties is not functional <alex>
[6 months ago] 95ef32e  FBI-2311 (WE 2.0) The scroll does not work when we edit a trigger <dheeyi william>
[6 months ago] 04d6f75  FBI-2302:Mafe clean code ' '.translate() <Fabio Guachalla>
[7 months ago] 46901a8  FBI-2209:"Lasso" and "validator" icons they can moved inside the canvas <Fabio Guachalla>
[7 months ago] a235acf  FBI-2291 (Message Type) The Message field name is not displaying the required mark <dheeyi william>
[8 months ago] 4bc6357  FBI-2271: (MessageType) Message Field allows to create an invalid field even if there is an alert <Rodrigo Quelca>
[8 months ago] f3c93fb  FBI-2250 We can not go into web entry in IE11 <dheeyi william>
[8 months ago] 8c4af39  FBI-2250 We can not go into web entry in IE11 <dheeyi william>
[9 months ago] c0d7657  FBI-1337: [Mantis - 0021645] Grid Columns rename problem <Rodrigo Quelca>
[9 months ago] e2f9779  FBI-2206 (Web Entry) The checkbox of "Show task in New Case" is saved as checked, even if we didn't check it before <dheeyi william>
[9 months ago] f627047  duplicate connectos was fixed <Rodrigo Quelca>
[9 months ago] 9e5fb08  comment the loadShape method <Rodrigo Quelca>
[9 months ago] 427730e  FBI-2203: The elements are duplicate in the process Designer when I enable the "Enable Grid Lines" option <Rodrigo Quelca>
[9 months ago] 4af88ab  FBI-1614: (Message Type) Position of the buttons are incorrect <Rodrigo Quelca>
[10 months ago] 9b826df  (origin/improvement/FBI-2144) FBI-2144 <Daniel>
