[25 hours ago] 35cfeeca  PMCORE-541:New lines are not taken into account in printed dynaform <Fabio Guachalla>
[2 days ago] e8ea435d  (origin/bugfix/PMCORE-1249) PMCORE-1249: When you select a control option with the "setValue" method, more "execute-query" requests are executed. <Rodrigo Quelca>
[2 days ago] b9090f1a  (origin/bugfix/PMCORE-1245) PMCORE-1245 <henry>
[5 days ago] 7570efbf  (origin/bugfix/PMCORE-1248) PMCORE-1248: The suggest control does not retrieve the correct text, within a grid <Rodrigo Quelca>
[5 days ago] 76cc789f  (origin/bugfix/PMCORE-1247) PMCORE-1247: Dependent fields with helper setText is not working properly <Rodrigo Quelca>
[7 days ago] 3931aaeb  (origin/bugfix/PMCORE-1228) SetOnChange helper >> The console displays errors and the Dynaform is not rendered. <Rodrigo Quelca>
[9 days ago] 7e5e5c00  (origin/bugfix/PMCORE-866-A) improve PMDynaform Event Bus <henry>
[4 weeks ago] 340b11c7  (origin/feature/PMCORE-1137-B) PMCORE-1137-A <henry>
[4 weeks ago] 507bb2ba  (origin/bugfix/PMCORE-1148) PMCORE-1148: PM 3.4.3 with the new Patch3_Knauf is not working in the IE11 browser <Rodrigo Quelca>
[4 weeks ago] 01a5207a  PMCORE-1137 <henry>
[5 weeks ago] e770b868  (origin/bugfix/PMCORE-1130) PMCORE-1130 <henry>
[5 weeks ago] da9c0731  (origin/bugfix/PMCORE-1111_C) PMCORE-111: Dependent fields in grids lose its values <Rodrigo Quelca>
[6 weeks ago] dc282b97  (origin/feature/PMCORE-1127) PMCORE-1127 <henry>
[6 weeks ago] 6629d170  PMCORE-541: New lines are not taken into account in printed dynaform <Fabio Guachalla>
[6 weeks ago] bb507c9c  FBI-1580: Tooltips in grids are being hidden in middle and small screens or when more than 6 elements are added <alex>
[6 weeks ago] 26000aa5  (origin/bugfix/PMCORE-1113) PMCORE-1113 <henry>
[6 weeks ago] 21a74c78  (origin/bugfix/PMCORE-1111) PMCORE-1111: Dependent fields in grids lose its values <Rodrigo Quelca>
[7 weeks ago] 638f0136  PMCORE-1096:Multiple File Upload Control does not validate Required Field attribute <Fabio Guachalla>
[7 weeks ago] e1e7137b  (origin/bugfix/PMCORE-522) PMCORE-522 <henry>
[8 weeks ago] 0021eb5c  (origin/feature/PMCORE-1054) PMCORE-1054 <henry>
[8 weeks ago] a9b5f45e  (origin/bugfix/PMCORE-1035) PMCORE-1035 <henry>
[8 weeks ago] 3b913de7  (origin/bugfix/PMCORE-1019-A) PMCORE-1019 <henry>
[9 weeks ago] 2cbeeef4  Words cut off in dynaform printed PDF <Fabio Guachalla>
[9 weeks ago] 742d0259  Words cut off in dynaform printed PDF <Fabio Guachalla>
[9 weeks ago] 8132a464  PMCORE-488:It can not be created new cases in iExplorer 11 when   installing Knauf-Patch in the server <Fabio Guachalla>
[9 weeks ago] ea8b2e00  PMCORE-494:There is an space when I do click on textarea field <Fabio Guachalla>
[3 months ago] f9ccdfb5  (origin/bugfix/PMC-1526) PMC-1526: PROD - 1251 -> An error occurs if you select display-mode = view of a web control <Rodrigo Quelca>
[3 months ago] 1dc20e06  (origin/bugfix/PMC-1533) change the execution of suggest Field Offline mode <henry>
[3 months ago] 339f4de9  PMC-1442:[19026, 18927]  Dropdown populated by an Array variable is not working. <Fabio Guachalla>
[3 months ago] 387e0f66  (origin/bugfix/PRE-669) PRE-669 fix dependents fields in the second row of the grid <henry>
