[24 hours ago] f561dff31  (origin/revert-pmcore-546) Revert changes from PMCORE-546 <Julio Cesar Laura Avendaño>
[4 days ago] 2f4e1e013  Merged in feature/PMC-1332 (pull request #7136) <Paula Quispe>
[7 days ago] 28d07e1a8  (origin/bugfix/PMCORE-542-B) PMCORE-542 <Paula Quispe>
[9 days ago] 93818597e  (origin/bugfix/PMCORE-1034) PMCORE-1034 ProcessMaker is not running in Stack 270 <Roly Rudy Gutierrez Pinto>
[9 days ago] fddd7bc9f  (origin/bugfix/PMCORE-542-A) PMCORE-542 <Paula Quispe>
[2 weeks ago] 811db5b67  (origin/bugfix/PMCORE-534) PMCORE-534 <Andrea Adamczyk>
[2 weeks ago] 35d9db2c1  (origin/bugfix/PMCORE-1095) PMCORE-1095 <Julio Cesar Laura Avendaño>
[2 weeks ago] 686f0a86c  (origin/bugfix/PMCORE-546) PMCORE-546 <Paulis>
[2 weeks ago] 56bc985d3  (origin/bugfix/PMCORE-1057) PMCORE-1057 <Andrea Adamczyk>
[2 weeks ago] 6b361487e  (origin/bugfix/PMCORE-1058) PMCORE-1058 <Julio Cesar Laura Avendaño>
[3 weeks ago] 79b862676  (origin/bugfix/PMCORE-496) PMCORE-496 Review why the command ./gulliver has some problems in the version 3.x <Roly Rudy Gutierrez Pinto>
[3 weeks ago] d8e2e9427  (origin/bugfix/PMCORE-493) PMCORE-493 Unit test solve issues Circle CI WorkflowTest <Roly Rudy Gutierrez Pinto>
[3 weeks ago] 7d381b023  (origin/bugfix/PMCORE-497) PMCORE-497 Unit test solve issues CircleCI GroupsAjaxTest <Roly Rudy Gutierrez Pinto>
[3 weeks ago] c1ddcb7ed  (origin/bugfix/PMCORE-1056) Improvement related to reload counters for Valeo <Julio Cesar Laura Avendaño>
[3 weeks ago] cf5360ccc  PMCORE-1049 <Julio Cesar Laura Avendaño>
[4 weeks ago] 67e3eee9a  (origin/bugfix/PMCORE-502-A) PMCORE-502 Update the composer and solving some warnings <Roly Rudy Gutierrez Pinto>
[4 weeks ago] dd7c3a3f4  (origin/bugfix/PMCORE-490) PMCORE-490 <Paula Quispe>
[4 weeks ago] 4b48be56a  (origin/bugfix/PMCORE-510) PMCORE-510 <Paula Quispe>
[4 weeks ago] 1e2589de8  (origin/bugfix/PMCORE-502) PMCORE-502 Update the composer and solving some warnings <Roly Rudy Gutierrez Pinto>
[4 weeks ago] 30cc79071  (origin/bugfix/PMC-1535) PMCORE-495 <Julio Cesar Laura Avendaño>
[4 weeks ago] 3bf754238  (origin/bugfix/PMCORE-498) PMCORE-498 Unit test solve issues CircleCI UsersAjaxTest <Roly Rudy Gutierrez Pinto>
[5 weeks ago] f0430e8f6  (origin/bugfix/PMC-1394) PMC-1394 <Paula Quispe>
[5 weeks ago] ad067363d  (origin/bugfix/PMC-1341) PMC-1341 <Julio Cesar Laura Avendaño>
[5 weeks ago] f75744548  (origin/bugfix/PMC-1540) PMC-1540 <Paula Quispe>
[7 weeks ago] 8a24a0a91  PMC-1459 It is not possible to export processes <Roly Rudy Gutierrez Pinto>
[7 weeks ago] 59a34a331  (origin/feature/PMC-1518) PMC-1518 Restructure the offline definition over the PM Tables <Roly Rudy Gutierrez Pinto>
[7 weeks ago] c87455335  (origin/bugfix/PMC-1396) PMC-1396 <Andrea Adamczyk>
[7 weeks ago] de8ce865e  (origin/bugfix/PMC-1503) PMC-1503 <Andrea Adamczyk>
[7 weeks ago] 9e4e98425  (origin/bugfix/PMC-1325) PMC-1325 <Julio Cesar Laura Avendaño>
[7 weeks ago] a4fdd3bfb  (origin/bugfix/PMC-1399) PMC-1399 <Andrea Adamczyk>
